Lon,Lat,Thick,Elev,Unc,Day,Qual,Source
-6.6967799999999997e+01,-7.1082468999999989e+01,774.8200,2351.3834,17.6266,735301,1,IRMCR2_20091031_01
-6.6964473999999996e+01,-7.1086936999999978e+01,903.8900,2351.2785,19.9341,735301,1,IRMCR2_20091031_01
-6.6961147999999994e+01,-7.1091405999999964e+01,1055.0900,2351.2148,22.7122,735301,1,IRMCR2_20091031_01
-6.6957824000000002e+01,-7.1095874999999978e+01,1284.1700,2351.1922,27.0222,735301,1,IRMCR2_20091031_01
-6.6954515999999998e+01,-7.1100346999999971e+01,1353.5500,2351.2108,28.3443,735301,1,IRMCR2_20091031_01
-6.6951297999999994e+01,-7.1104824999999991e+01,1400.8000,2351.2706,29.2482,735301,1,IRMCR2_20091031_01
-6.6948267000000001e+01,-7.1109315999999978e+01,1372.5000,2351.3714,28.7065,735301,1,IRMCR2_20091031_01
-6.6945560000000000e+01,-7.1113826999999972e+01,1378.5500,2351.5130,28.8222,735301,1,IRMCR2_20091031_01
-6.6943331999999998e+01,-7.1118362999999988e+01,1367.9900,2351.6952,28.6202,735301,1,IRMCR2_20091031_01
-6.6941704000000001e+01,-7.1122846999999965e+01,1352.0200,2351.7823,28.3151,735301,1,IRMCR2_20091031_01
-6.6940645000000004e+01,-7.1127430999999973e+01,877.3200,2351.7603,19.4534,735301,1,IRMCR2_20091031_01
-6.6940189000000004e+01,-7.1132023999999959e+01,429.7700,2351.7790,12.0184,735301,1,IRMCR2_20091031_01
-6.6940330000000003e+01,-7.1136616999999973e+01,352.9200,2351.8384,10.9718,735301,1,IRMCR2_20091031_01
-6.6941094000000007e+01,-7.1141377999999975e+01,107.5400,2351.6272,8.6710,735301,1,IRMCR2_20091031_01
-6.6942413000000002e+01,-7.1145952999999977e+01,49.6600,2351.5323,8.4585,735301,1,IRMCR2_20091031_01
-6.6947496999999998e+01,-7.1156206999999966e+01,0.3800,2351.4631,8.4000,735301,1,IRMCR2_20091031_01
-6.6950659999999999e+01,-7.1160682999999977e+01,263.1500,2351.4970,9.9126,735301,1,IRMCR2_20091031_01
