topaccumulation,topaccumulationini,mb,surface,deltaspeed,dhdt,hobs,dhobs,dist2obs,dist2mar,flux,flux residual,mask,flux loads,visc_ref,visc_ref_mean,tau_ref,tau_ref_mean,hsia,visc_eff,htau,tau_eff,hb,costvalue,fluxadjoint,djdsmbtop,var,djdvar,grad_fluxdeltaspeed,deltaflux,deltafluxup,deltafluxup residual,deltafluxdown,deltafluxdown residual,deltahsiaup,deltahsiadown,deltahsia,dzs:0,dzs:1,dzs:2,surfslope:0,surfslope:1,surfslope:2,velocity:0,velocity:1,velocity:2,fluxdirection_sia:0,fluxdirection_sia:1,fluxdirection_sia:2,fluxdirection_sia loads:0,fluxdirection_sia loads:1,fluxdirection_sia loads:2,slopedirection_sia:0,slopedirection_sia:1,slopedirection_sia:2,graddsdx_sia:0,graddsdx_sia:1,graddsdx_sia:2,graddsdy_sia:0,graddsdy_sia:1,graddsdy_sia:2,fluxdirection_tau:0,fluxdirection_tau:1,fluxdirection_tau:2,fluxdirection_tau loads:0,fluxdirection_tau loads:1,fluxdirection_tau loads:2,slopedirection_tau:0,slopedirection_tau:1,slopedirection_tau:2,graddsdx_tau:0,graddsdx_tau:1,graddsdx_tau:2,graddsdy_tau:0,graddsdy_tau:1,graddsdy_tau:2,gradflux:0,gradflux:1,gradflux:2,x,y,z
4.140532762,4.140532762,3.758246865,433.9073012,0.2,0.07263821359,106.9716463,8.748076238,100000,361.1093879,0,0,-1,-2265958.591,80142.75012,80144.049,206914.7585,206916.48,285.324521,62142.35901,123.8439805,69751.83577,-9047.521678,0,0,1497576.27,4.140532762,1497576.27,-1.38344367,56733.16536,0,0,0,0,0,0,0,0.0002514864401,0.0004227576578,0,0.08176584208,-0.02302893739,0,3.758246865,3.758246865,0,0.1125828102,0.1730866133,0,1.164153218e-10,2.437445801e-10,0,-0.02868598542,-0.04410229285,0,-3.526746257e-05,-9.131696752e-06,0,-2.203920559e-05,-1.859310538e-05,0,0.07714451359,0.0898419202,0,3.637978807e-11,5.456968211e-11,0,-0.04078771257,-0.04750106323,0,-2.85604151e-05,1.591922025e-05,0,1.342532595e-05,1.00082336e-05,0,-17.07966937,10.16245102,0,-2230552.367,964873.8779,0
6.836236783,6.836236783,5.149235373,866.8549512,0.2,-1.063702461,196.0049863,10.41489479,100000,210.7480094,0,0,-1,-7666079.549,80144.049,80144.049,206916.48,206916.48,151.0288817,59414.10719,100.6937625,52427.56472,-763522.9209,0,0,80121394.07,6.836236783,80121394.07,28.58524742,127552.7096,0,0,0,0,0,0,0,0.000345520836,0.0004769778174,0,0.3233924127,0.1835501267,0,5.149235373,5.149235373,0,0.2963777887,0.1049293912,0,-2.000888344e-11,9.094947018e-13,0,-0.1368987253,-0.04846753183,0,-0.0001373190771,4.950689014e-07,0,4.251133221e-05,-0.0001582551395,0,0.0973393273,0.05008692826,0,1.818989404e-12,4.547473509e-13,0,-0.05146507923,-0.02648187329,0,-0.0001181387344,-3.229587177e-07,0,6.391490083e-06,-0.0001000929736,0,-16.63078139,159.5570185,0,-2229345.084,967156.1105,0
5.259779874,5.259779874,4.691846435,782.3129651,0.2,0,234.8687484,10.29663618,100000,369.6739102,0,0,-1,-1239100.61,80144.049,80144.049,206916.48,206916.48,166.9559852,86136.43319,74.07070164,103544.1831,-132458.6528,0,0,-492634063.7,5.259779874,-492634063.7,-9.016280435,114035.1166,0,0,0,0,0,0,0,-0.0002421478333,-0.0003865332236,0,-1.208640827,-0.4158601429,0,4.691846435,4.691846435,0,-0.2763542548,-0.2690158032,0,-3.637978807e-12,-1.273292582e-11,0,0.1276497317,0.1242600557,0,-0.0001279092429,5.296368515e-05,0,-2.675003231e-05,-7.59895688e-05,0,-0.2789699037,-0.09251902897,0,-1.818989404e-12,0,0,0.1474964806,0.04891649951,0,-0.0001611285845,-3.4829344e-07,0,-2.771159369e-05,-8.112529899e-05,0,-52.33099553,7.249593352,0,-2214594.384,996943.2933,0
5.242085403,5.242085403,4.676062554,896.5972975,0.2,0,234.531035,10.27621623,100000,348.0949098,0,0,-1,-3768571.471,80144.049,80144.049,206916.48,206916.48,162.1235101,83402.0108,73.55418986,100045.4593,-492016.9332,0,0,-84506742.29,5.242085403,-84506742.29,-33.37421627,117196.7925,0,0,0,0,0,0,0,-0.0002443474673,-0.0003840186932,0,-1.296293645,-0.2661901868,0,4.676062554,4.676062554,0,-0.2974036861,-0.2556205927,0,-3.637978807e-12,-4.547473509e-13,0,0.1373725936,0.1180727255,0,7.86861943e-05,0.0001309427318,0,-2.540455296e-05,-8.063613296e-05,0,-0.2753763669,-0.07713153871,0,0,5.684341886e-13,0,0.1455965121,0.04078085252,0,0.0001011715015,2.840677475e-05,0,-1.221401828e-05,-4.496904042e-05,0,-136.6161799,-30.25490145,0,-2214685.562,997041.7993,0
5.692993769,5.692993769,4.012850115,709.8056343,0.2,-1.194400611,239.2557547,10.08290359,100000,371.86715,0,0,-1,-25008.47069,80144.049,80144.049,206916.48,206916.48,197.8210789,80787.94517,131.2405462,68121.57905,-40637.73005,0,0,8949099.782,5.692993769,8949099.782,0.8141030386,94290.82964,0,0,0,0,0,0,0,-0.0003048565265,-0.0003385021328,0,0.261042885,-0.04041537079,0,4.012850115,4.012850115,0,0.1076326126,-0.250496063,0,4.365574569e-11,-9.458744898e-11,0,-0.04971616642,0.1157056737,0,0.0001370909145,2.101037317e-05,0,-6.227035027e-05,-3.025487559e-05,0,0.08980074165,-0.06201391159,0,3.637978807e-12,-4.547473509e-13,0,-0.04747929138,0.0327878871,0,0.0002202746317,2.442579452e-05,0,-6.878357456e-06,6.690161518e-06,0,-0.5418195278,4.612334721,0,-2215227.838,999194.1643,0
5.205950309,5.205950309,4.234012029,689.391889,0.2,-0.4594242734,198.0982528,10.13743266,100000,163.160993,0,0,-1,-192133.1333,80144.049,80144.049,206916.48,206916.48,135.1067981,51309.31672,74.87868922,54344.57627,-9914.074597,0,0,-736866113.2,5.205950309,-736866113.2,0.4147733398,138778.955,0,0,0,0,0,0,0,3.409734605e-06,-0.0003973048563,0,0.4319877453,-0.1803316554,0,4.234012029,4.234012029,0,0.2061213863,-0.2537448524,0,-1.091393642e-11,5.456968211e-12,0,-0.09520873734,0.1172063095,0,-9.721073177e-05,3.803433488e-05,0,-1.593661826e-05,-2.663428695e-05,0,0.1399856881,-0.06073472935,0,-9.094947018e-13,0,0,-0.07401298865,0.03211156009,0,-9.296134639e-05,4.074079262e-05,0,-6.331851487e-05,-3.565265351e-05,0,-1.141939392,3.215806091,0,-2212965.438,997620.7789,0
3.124086817,3.124086817,4.385239705,1092.240362,0.2,1.791972535,205.728257,10.00741405,100000,481.3448913,0,0,-1,250007.4535,80144.049,80144.049,206916.48,206916.48,157.9939949,102844.1685,93.5907325,105523.2319,-106306.382,0,0,-35960534.49,3.124086817,-35960534.49,-17.17983477,117009.7779,0,0,0,0,0,0,0,0.000462091328,0.0004761733202,0,0.7065380165,-0.04598374715,0,4.385239705,4.385239705,0,0.4999269671,0.07017901176,0,-4.547473509e-12,-2.899014362e-12,0,-0.230919344,-0.0324161176,0,-3.24006605e-05,1.83563595e-06,0,0.0001162329949,6.206294284e-05,0,0.2368216666,-0.01055789247,0,-2.273736754e-12,1.847411113e-13,0,-0.1252119382,0.005582150478,0,-9.250134615e-05,-2.320488198e-05,0,7.34321733e-05,9.970537291e-05,0,-10.11708414,-75.78208972,0,-2226934.201,963636.9862,0
2.660924731,2.660924731,3.819121166,768.5916084,0.2,1.62048919,182.117974,9.698126422,100000,73.50091448,0,0,-1,82007.56921,80144.049,80144.049,206916.48,206916.48,100.786434,31487.2921,110.9964252,17428.83881,-44594.39347,0,0,-7580942.479,2.660924731,-7580942.479,0.02014194764,177974.797,0,0,0,0,0,0,0,0.0004524038377,0.0002865833171,0,0.332058195,0.1063982837,0,3.819121166,3.819121166,0,0.3023025375,0.1245684321,0,-1.818989404e-12,-4.547473509e-13,0,-0.1396354033,-0.0575389257,0,3.29017703e-05,-3.569412288e-05,0,4.892128569e-06,-5.117191804e-05,0,0.03116588963,0.00643797874,0,-4.547473509e-13,-2.273736754e-13,0,-0.01647797477,-0.003403876883,0,6.178673319e-05,-4.022151264e-05,0,5.199989328e-06,-5.361595781e-05,0,-7.419114008,7.519823746,0,-2227008.081,962252.0815,0
6.653937788,6.653937788,5.823395501,1045.427065,0.2,-0.1256383478,319.2202829,11.55993517,100000,354.6628252,0,0,-1,-10418391.9,80144.049,80144.049,206916.48,206916.48,143.3867016,86702.53274,81.47983773,94563.85799,-238480.7504,0,0,-8082271.878,6.653937788,-8082271.878,2.677067521,148938.4686,0,0,0,0,0,0,0,0.0004704516133,0.0003393087643,0,-0.6426440389,0.7716035553,0,5.823395501,5.823395501,0,-0.3069463504,0.3950531196,0,-3.637978807e-12,-1.091393642e-11,0,0.141780409,-0.1824774681,0,3.941574337e-05,-5.349866496e-05,0,-1.952812464e-05,7.772913592e-05,0,-0.1696223668,0.1754150399,0,-1.818989404e-12,0,0,0.08968244172,-0.0927451337,0,-3.093641362e-05,1.469548873e-05,0,-1.635973199e-06,2.999772477e-05,0,-37.82757587,51.21291348,0,-2223186.591,962826.5092,0
2.938672379,2.938672379,4.712784546,1302.46629,0.2,2.3445801,178.9455424,9.78460513,100000,88.07093198,0,0,-1,-6402149.69,80144.049,80144.049,206916.48,206916.48,109.3085226,34952.66183,62.88951737,36179.44643,-381791.541,0,0,-34935081,2.938672379,-34935081,15.07769798,165569.2305,0,0,0,0,0,0,0,0.0003927195663,0.0004933280268,0,0.1906153263,1.063772421,0,4.712784546,4.712784546,0,0.1033329934,0.2997082213,0,1.364242053e-12,-1.091393642e-11,0,-0.04773014583,-0.1384370726,0,-1.864280346e-05,-0.0001237837445,0,-5.813625728e-05,0.0001567585668,0,0.0167413355,0.1197900239,0,4.547473509e-13,1.818989404e-12,0,-0.008851449684,-0.06333517237,0,-1.558145483e-05,-4.425321471e-05,0,-5.143536833e-05,-1.13690091e-05,0,-2.927513744,78.31600366,0,-2228207.011,965437.9819,0
